"-- Default --","-- Default --"
"-- Unassigned --","-- Unassigned --"
"<a href=""https://support.freshdesk.com/en/support/solutions/articles/215517"">How to find your API key</a>","<a href=""https://support.freshdesk.com/en/support/solutions/articles/215517"">How to find your API key</a>"
"A total of %1 submission(s) have been sent.","A total of %1 submission(s) have been sent."
"Agent","Agent"
"API Key","API Key"
"Are you sure?","Are you sure?"
"Attachments","Attachments"
"Chat","Chat"
"Closed","Closed"
"Company ID of the requester","Company ID of the requester"
"Create Ticket","Create Ticket"
"Customer Email","Customer Email"
"Default","Default"
"Description","Description"
"Email","Email"
"Email address added in the cc field of the incoming ticket email","Email address added in the cc field of the incoming ticket email"
"Email address of the requester","Email address of the requester"
"External ID of the requester","External ID of the requester"
"Facebook","Facebook"
"Facebook ID of the requester","Facebook ID of the requester"
"Feature Request","Feature Request"
"Feedback Widget","Feedback Widget"
"Field","Field"
"Fields Mapping","Fields Mapping"
"Forum","Forum"
"Freshdesk","Freshdesk"
"Freshdesk address: ***.freshdesk.com","Freshdesk address: ***.freshdesk.com"
"Freshdesk api key not configured.","Freshdesk api key not configured."
"Freshdesk Domain","Freshdesk Domain"
"Freshdesk domain not configured.","Freshdesk domain not configured."
"Freshdesk Integration Add-on","Freshdesk Integration Add-on"
"Freshdesk Integration Settings","Freshdesk Integration Settings"
"Freshdesk Ticket Attribute","Freshdesk Ticket Attribute"
"General settings that are required to connect Freshdesk Support and Magento.","General settings that are required to connect Freshdesk Support and Magento."
"Group","Group"
"High","High"
"ID of email config which is used for this ticket","ID of email config which is used for this ticket"
"ID of the agent to whom the ticket has been assigned","ID of the agent to whom the ticket has been assigned"
"ID of the group to which the ticket has been assigned","ID of the group to which the ticket has been assigned"
"ID of the internal agent which the ticket should be assigned with","ID of the internal agent which the ticket should be assigned with"
"ID of the internal group to which the ticket should be assigned with","ID of the internal group to which the ticket should be assigned with"
"ID of the product to which the ticket is associated","ID of the product to which the ticket is associated"
"Incident","Incident"
"Key value pairs containing the names and values of custom fields.","Key value pairs containing the names and values of custom fields."
"Lead","Lead"
"Low","Low"
"Medium","Medium"
"Name of the requester","Name of the requester"
"Open","Open"
"Outbound Email","Outbound Email"
"Pending","Pending"
"Phone","Phone"
"Phone number of the requester","Phone number of the requester"
"Portal","Portal"
"Priority","Priority"
"Problem","Problem"
"Question","Question"
"Resolved","Resolved"
"Source","Source"
"Status","Status"
"Subject","Subject"
"Tags","Tags"
"Tags should be separated with new line","Tags should be separated with new line"
"Timestamp that denotes when the first response is due","Timestamp that denotes when the first response is due"
"Timestamp that denotes when the ticket is due to be resolved","Timestamp that denotes when the ticket is due to be resolved"
"Twitter","Twitter"
"Twitter handle of the requester","Twitter handle of the requester"
"Type","Type"
"Urgent","Urgent"
"User ID of the requester","User ID of the requester"
"Waiting on Customer","Waiting on Customer"
"Waiting on Third Party","Waiting on Third Party"